KBinMemory,ArraySize,SearchRepetitions,StartTime,PopulateTime,SearchTime,TotalTime
100352,12845056,100000000,1617587999257,156,11100,11256
101376,12976128,100000000,1617588010591,159,10857,11016
1024,131072,100000000,1617585792810,5,1825,1830
1024,131072,100000000,1617587149796,5,1810,1815
10240,1310720,100000000,1617585819424,21,5426,5447
10240,1310720,100000000,1617587177479,20,5426,5446
102400,13107200,100000000,1617588021677,159,11187,11346
103424,13238272,100000000,1617588033098,159,11188,11347
104448,13369344,100000000,1617588044522,164,11710,11874
105472,13500416,100000000,1617588056489,160,11225,11385
106496,13631488,100000000,1617588067953,168,11151,11319
107520,13762560,100000000,1617588079354,165,11228,11393
108544,13893632,100000000,1617588090824,170,11163,11333
109568,14024704,100000000,1617588102237,170,11223,11393
110592,14155776,100000000,1617588113709,173,11157,11330
111616,14286848,100000000,1617588125117,171,11274,11445
11264,1441792,100000000,1617585824930,23,5692,5715
11264,1441792,100000000,1617587183036,27,5703,5730
112640,14417920,100000000,1617588136641,185,11868,12053
113664,14548992,100000000,1617588148772,177,11899,12076
114688,14680064,100000000,1617588160926,176,11326,11502
115712,14811136,100000000,1617588172502,182,11894,12076
116736,14942208,100000000,1617588184656,184,11229,11413
117760,15073280,100000000,1617588196171,182,11838,12020
118784,15204352,100000000,1617588208271,182,11380,11562
119808,15335424,100000000,1617588219909,185,11233,11418
120832,15466496,100000000,1617588231413,188,11455,11643
121856,15597568,100000000,1617588243155,188,11866,12054
12288,1572864,100000000,1617585830705,24,6107,6131
12288,1572864,100000000,1617587188826,24,5978,6002
122880,15728640,100000000,1617588255287,191,11278,11469
123904,15859712,100000000,1617588266862,191,11814,12005
124928,15990784,100000000,1617588278961,191,11458,11649
125952,16121856,100000000,1617588290689,192,11461,11653
126976,16252928,100000000,1617588302491,192,11377,11569
128000,16384000,100000000,1617588314138,195,11279,11474
129024,16515072,100000000,1617588325691,197,11313,11510
130048,16646144,100000000,1617588337277,199,11582,11781
131072,16777216,100000000,1617588349162,198,10593,10791
132096,16908288,100000000,1617588360033,201,11310,11511
13312,1703936,100000000,1617585836921,25,6353,6378
13312,1703936,100000000,1617587194886,27,6305,6332
133120,17039360,100000000,1617588371628,204,11501,11705
134144,17170432,100000000,1617588383412,204,11336,11540
135168,17301504,100000000,1617588395029,205,11544,11749
136192,17432576,100000000,1617588406860,208,11762,11970
137216,17563648,100000000,1617588418930,209,11654,11863
138240,17694720,100000000,1617588430874,214,11797,12011
139264,17825792,100000000,1617588442968,216,11278,11494
140288,17956864,100000000,1617588454544,217,11843,12060
141312,18087936,100000000,1617588466680,219,11945,12164
142336,18219008,100000000,1617588478943,220,11912,12132
14336,1835008,100000000,1617585843361,28,6741,6769
14336,1835008,100000000,1617587201279,29,6678,6707
143360,18350080,100000000,1617588491153,219,11700,11919
144384,18481152,100000000,1617588503154,220,11394,11614
145408,18612224,100000000,1617588514848,224,11293,11517
146432,18743296,100000000,1617588526444,226,12016,12242
147456,18874368,100000000,1617588538771,228,11329,11557
148480,19005440,100000000,1617588550409,231,11694,11925
149504,19136512,100000000,1617588562417,227,11440,11667
150528,19267584,100000000,1617588574167,233,11979,12212
151552,19398656,100000000,1617588586462,235,11992,12227
152576,19529728,100000000,1617588598772,238,11730,11968
15360,1966080,100000000,1617585850191,30,6896,6926
15360,1966080,100000000,1617587208050,29,7093,7122
153600,19660800,100000000,1617588610825,233,11777,12010
154624,19791872,100000000,1617588622919,239,11740,11979
155648,19922944,100000000,1617588634979,243,11522,11765
