TaxaDeChegadaMedia TempoDeServicoMedio NumServidores RequisicoesSubmetidas RequisicoesConcluidas TempoMedioDeResposta TamanhoMedioDaFila
5.000000 0.840000 10 158 158 0.683826 0.000000
10.000000 0.840000 10 312 308 0.800052 2.551948
15.000000 0.840000 10 480 338 4.379141 62.744807
20.000000 0.840000 10 585 359 7.004095 134.226891
25.000000 0.840000 10 776 376 7.930421 201.843085
30.000000 0.840000 10 955 371 10.313895 321.333333
35.000000 0.840000 10 1023 330 10.251166 343.454545
40.000000 0.840000 10 1224 340 11.349676 447.973529
45.000000 0.840000 10 1398 369 10.608174 476.880759
50.000000 0.840000 10 1464 352 12.006827 567.318182
55.000000 0.840000 10 1554 341 12.382901 629.255625
60.000000 0.840000 10 1822 372 11.800279 701.040541
65.000000 0.840000 10 1955 351 11.970665 753.476411
70.000000 0.840000 10 2047 384 11.638212 759.071709
75.000000 0.840000 10 2253 335 11.846354 848.188060
80.000000 0.840000 10 2373 345 12.048915 921.788406
85.000000 0.840000 10 2537 368 12.703055 1022.877717
90.000000 0.840000 10 2640 373 12.868683 1106.530831
95.000000 0.840000 10 2777 395 13.352070 1208.121519
