TaxaDeChegadaMedia TempoDeServicoMedio NumServidores RequisicoesSubmetidas RequisicoesConcluidas TempoMedioDeResposta TamanhoMedioDaFila
9.500000 0.840000 8 278 254 1.044726 5.082677
9.500000 0.840000 9 253 253 0.869469 1.631783
9.500000 0.840000 10 297 297 0.766092 1.966326
9.500000 0.840000 11 265 263 0.908765 0.863118
9.500000 0.840000 12 289 285 0.886983 0.364912
9.500000 0.840000 13 274 274 0.887715 0.062044
9.500000 0.840000 14 277 277 0.869573 0.039568
9.500000 0.840000 15 273 273 0.910817 0.014235
9.500000 0.840000 16 285 285 0.918297 0.000000
9.500000 0.840000 17 275 275 0.839847 0.000000
9.500000 0.840000 18 293 293 0.854770 0.003322
9.500000 0.840000 19 277 277 0.922961 0.006944
9.500000 0.840000 20 257 257 0.944803 0.000000
9.500000 0.840000 21 290 290 0.853152 0.000000
9.500000 0.840000 22 271 271 0.883228 0.000000
9.500000 0.840000 23 284 284 0.851470 0.000000
9.500000 0.840000 24 269 269 0.895597 0.003509
